,Unnamed: 0,fn,fnum,objname,filter,trimsec,biassec
0,0,../Imaging/a001.fits,1,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
1,1,../Imaging/a002.fits,2,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
2,2,../Imaging/a003.fits,3,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
3,3,../Imaging/a004.fits,4,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
4,4,../Imaging/a005.fits,5,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]"
5,5,../Imaging/a006.fits,6,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
6,6,../Imaging/a007.fits,7,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
7,7,../Imaging/a008.fits,8,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
8,8,../Imaging/a009.fits,9,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
9,9,../Imaging/a010.fits,10,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
10,10,../Imaging/a011.fits,11,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
11,11,../Imaging/a012.fits,12,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
12,12,../Imaging/a013.fits,13,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
13,13,../Imaging/a014.fits,14,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
14,14,../Imaging/a015.fits,15,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
15,15,../Imaging/a016.fits,16,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
16,16,../Imaging/a017.fits,17,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
17,17,../Imaging/a018.fits,18,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
18,18,../Imaging/a019.fits,19,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]"
